CID,CIDint,IDSURVEY,TYPE,FIELD,zHD,zHDERR,z,zERR,HOST_LOGMASS,HOST_LOGMASS_ERR,SNRMAX1,SNRMAX2,SNRMAX3,PKMJD,PKMJDERR,x1,x1ERR,c,cERR,mB,mBERR,x0,x0ERR,COV_x1_c,COV_x1_x0,COV_c_x0,NDOF,FITCHI2,FITPROB,RA,DECL,TGAPMAX,MU,MUERR,MUERR_NOSIGMB,MURES,MUPULL,sbar,cbar,ERRCODE,Unnamed: 41
744,744,1,120,82N,0.12694,1e-05,0.12825,1e-05,10.47,0.075,43.4159,37.426,22.5996,53612.91,0.767,1.3867,0.3155,0.0657977,0.0337941,19.5367,0.057606,0.000274996,1.49845e-05,0.000715994,1.30979e-07,-4.0272599999999995e-07,31,20.6747,0.9385,-30.801575,0.317392,0.317392,,38.854,0.0762,0.0762,-0.040999999999999995,-0.5329999999999999,1.4669999999999999,0.052000000000000005,0
1112,1112,1,120,82S,0.25609,1e-05,0.25761,1e-05,11.351,0.059,13.3437,11.859,8.472,53630.145,0.698,-0.6050760000000001,0.7174,-0.025458099999999997,0.053207500000000005,21.2629,0.06571510000000001,5.60832e-05,3.4993199999999994e-06,0.00627207,-1.3777600000000001e-06,-9.32217e-08,43,26.9626,0.9734,-20.982391,-0.375273,-0.375273,,40.5843,0.1809,0.1809,0.009000000000000001,0.051,-0.625,-0.024,0
1241,1241,1,120,82S,0.08847999999999999,1e-05,0.08979,1e-05,10.696,0.103,63.8605,54.282,40.1992,53635.367,0.078,-0.541778,0.0789597,0.0502601,0.0238546,18.850924252000002,0.0452172,0.000517156484051,2.2054e-05,6.0613900000000006e-05,-2.82776e-07,-3.9889299999999997e-07,56,52.3885,0.6124,-22.327515,-0.776637,-0.776637,,37.9465,0.0515,0.0515,-0.11900000000000001,-2.303,-0.484,0.009000000000000001,0
1371,1371,1,120,82S,0.11797,1e-05,0.11934000000000002,1e-05,10.893,0.067,63.8619,38.7701,38.7632,53633.305,0.107,0.7898,0.0969753,-0.09958070000000001,0.021338299999999998,18.755526410999998,0.0361471,0.0005646467262490001,1.86649e-05,9.42886e-05,-3.40096e-07,-2.90445e-07,55,72.203,0.059729599999999994,-10.626251,0.42929399999999995,0.42929399999999995,,38.502,0.0499,0.0499,-0.22399999999999998,-4.486000000000001,0.9420000000000001,-0.17600000000000002,0
1580,1580,1,120,82S,0.18322,1e-05,0.184,1e-05,10.75,0.04,27.1215,23.5785,16.6583,53634.039000000004,0.282,0.8981,0.2454,-0.040732,0.031244099999999997,19.997411045,0.0701723,0.000179902653094,1.18706e-05,0.00046935,-6.67e-07,-2.70149e-07,67,30.1352,1.0,45.322959999999995,-0.644123,-0.644123,,39.5766,0.0794,0.0794,-0.177,-2.228,1.209,-0.078,0
1794,1794,1,120,82N,0.1407,1e-05,0.14190999999999998,1e-05,9.27,0.076,41.7464,30.9997,22.5872,53624.68,0.55,1.1683,0.3208,0.0319205,0.0290618,19.8153614473,0.0572016,0.000212742118282,1.14123e-05,0.000367101,-2.9329400000000003e-08,-2.45773e-07,44,34.7437,0.8653,-42.163269,-0.445407,-0.445407,,39.2072,0.074,0.074,0.07400000000000001,0.998,0.99,0.049,0
2031,2031,1,120,82S,0.15186,1e-05,0.153,1e-05,9.204,54.124,57.1365,45.2261,27.1193,53636.890999999996,0.14,0.4851,0.1436,-0.12823800000000002,0.0238852,19.3807422823,0.046458,0.00031747251223699995,1.3473e-05,1.7857000000000002e-05,-2.3686e-07,-2.2705400000000002e-07,53,62.9586,0.1644,-47.956879,-1.1714870000000002,-1.1714870000000002,,39.1734,0.0584,0.0584,-0.138,-2.372,0.634,-0.16899999999999998,0
2102,2102,1,120,82S,0.09401,1e-05,0.0951,1e-05,11.018,53.937,98.6983,72.379,41.7482,53620.195,0.503,1.2641,0.1957,-0.10776,0.0246565,18.353218368900002,0.05724389999999999,0.0008179522949289999,4.3040699999999996e-05,-0.000795013,1.33621e-06,-8.18819e-07,39,37.0163,0.5607,-47.779083,0.191053,0.191053,,38.1914,0.0575,0.0575,-0.006,-0.11,1.278,-0.11,0
2165,2165,1,120,82N,0.28662,1e-05,0.288,1e-05,9.485,0.186,14.8102,11.8634,7.877,53634.355,0.48700000000000004,0.5222,0.582,-0.12253499999999999,0.0440305,21.2689206274,0.051800099999999995,5.57716519638e-05,2.56915e-06,0.00580952,-9.064159999999999e-07,-5.93956e-08,64,33.4988,0.9994,17.091646,-0.096386,-0.096386,,41.0491,0.1432,0.1432,0.19699999999999998,1.375,0.073,-0.084,0
2422,2422,1,120,82N,0.26349,1e-05,0.265,1e-05,9.371,0.189,20.4539,15.6931,10.807,53639.633,0.363,1.0388,0.3311,-0.171534,0.040217,20.747797035,0.0438386,9.0129911856e-05,3.29274e-06,0.0006793169999999999,-4.4252e-07,-6.88199e-08,47,41.3341,0.7054,1.994443,0.638109,0.638109,,40.7522,0.1226,0.1226,0.107,0.8740000000000001,0.9079999999999999,-0.14300000000000002,0
2635,2635,1,120,82S,0.1431,1e-05,0.1437,1e-05,9.971,0.054,40.201,35.0107,21.2612,53640.273,0.175,0.858,0.1371,-0.0488858,0.025818200000000003,19.5374547705,0.0579845,0.000274811141371,1.48885e-05,8.995129999999999e-05,-1.61049e-07,-2.89226e-07,76,72.3168,0.5985,52.704246999999995,-1.238154,-1.238154,,39.1363,0.057,0.057,-0.027000000000000003,-0.469,0.884,-0.057,0
