name,HR,HR.err,c,c.err,gmass,gmass.lowerr,gmass.uperr,lmass,lmass.lowerr,lmass.uperr,logsfr,logsfr.lowerr,logsfr.uperr,lssfr,lssfr.lowerr,lssfr.uperr,phmass,pyoung,x1,x1.err,zcmb,global_g,global_g.lowerr,global_g.uperr,global_i,global_i.lowerr,global_i.uperr,host_dec,host_ra,local_g,local_g.lowerr,local_g.uperr,local_i,local_i.lowerr,local_i.uperr,dec,ra
SNF20050624-000,-0.23,0.13,-0.07,0.03,10.73,-0.1,0.1,7.33,-0.51,0.38,-4.74,-0.6,0.5,-12.0,-0.7,0.7,100.0,4.0,0.2,0.55,0.0671,16.23,-0.01,0.01,15.25,-0.01,0.01,-2.3575,263.6935,23.97,-0.64,1.15,23.48,-0.67,1.17,-2.3568,263.6979
SNF20050728-000,-0.19,0.13,-0.03,0.03,8.53,-0.1,0.1,8.0,-0.11,0.11,-2.39,-0.01,0.01,-10.4,-0.1,0.1,0.0,100.0,0.77,0.24,0.0419,17.96,-0.01,0.01,17.97,-0.02,0.02,-22.5874,14.3734,20.6,-0.03,0.03,20.13,-0.05,0.06,-22.5872,14.373
SNF20050728-006,-0.03,0.12,0.09,0.03,10.0,-0.1,0.1,7.83,-0.22,0.21,-3.14,-0.06,0.06,-11.0,-0.2,0.2,50.0,25.0,0.19,0.24,0.0581,18.06,-0.02,0.02,16.95,-0.01,0.01,-14.0008,329.5207,22.87,-0.2,0.25,21.99,-0.21,0.27,-13.9986,329.518
SNF20050821-007,-0.06,0.13,-0.05,0.03,8.92,-0.1,0.1,7.84,-0.14,0.14,-2.46,-0.02,0.02,-10.3,-0.1,0.1,0.0,99.0,0.11,0.32,0.0582,19.19,-0.02,0.02,18.66,-0.03,0.03,9.2403,22.6224,22.13,-0.08,0.08,21.55,-0.11,0.11,9.2403,22.6216
SNF20050829-003,0.22,0.14,0.03,0.04,9.9,-0.1,0.1,7.61,-0.2,0.21,-3.07,-0.06,0.06,-10.7,-0.2,0.2,14.0,72.0,-1.44,0.37,0.044,16.56,-0.01,0.01,15.87,-0.01,0.01,10.4886,336.7175,22.9,-0.18,0.23,21.95,-0.19,0.23,10.4896,336.7188
SNF20050927-005,0.25,0.13,0.02,0.03,9.42,-0.1,0.1,8.5,-0.1,0.1,-1.75,-0.01,0.01,-10.2,-0.1,0.1,0.0,100.0,0.67,0.28,0.0396,16.96,-0.01,0.01,16.47,-0.01,0.01,8.6425,39.1593,19.43,-0.02,0.02,18.88,-0.02,0.02,8.6426,39.159
SNF20051003-004,0.05,0.13,-0.09,0.03,9.14,-0.1,0.1,8.65,-0.1,0.1,-1.88,-0.01,0.01,-10.5,-0.1,0.1,0.0,99.0,1.06,0.15,0.0337,17.62,-0.01,0.01,17.01,-0.01,0.01,28.1771,36.9305,18.73,-0.01,0.01,18.16,-0.01,0.01,28.1768,36.9303
SNF20060511-014,-0.07,0.14,-0.03,0.03,10.2,-0.1,0.1,7.55,-0.27,0.25,-3.2,-0.13,0.1,-10.8,-0.3,0.3,97.0,59.0,-0.65,0.17,0.0467,16.45,-0.01,0.01,15.57,-0.01,0.01,-24.6173,315.1336,23.26,-0.31,0.44,22.24,-0.29,0.39,-24.6175,315.139
SNF20060512-001,-0.06,0.13,0.02,0.03,9.32,-0.1,0.1,8.73,-0.1,0.1,-1.68,-0.01,0.01,-10.4,-0.1,0.1,0.0,100.0,0.71,0.13,0.0389,17.44,-0.01,0.01,16.84,-0.01,0.01,17.783,213.3538,19.23,-0.01,0.01,18.53,-0.01,0.01,17.7833,213.3541
SNF20060512-002,-0.45,0.12,0.05,0.03,10.72,-0.1,0.1,9.8,-0.1,0.1,-2.0,-0.01,0.01,-11.8,-0.1,0.1,100.0,0.0,-0.92,0.19,0.0509,15.98,-0.01,0.01,14.86,-0.01,0.01,17.0199,218.3799,19.01,-0.01,0.01,17.63,-0.01,0.01,17.02,218.3799
